Sender;Ngram;Count
Bad Boy;('≡', 'ƒ');2
Bad Boy;('ƒ', 'æ');1
Bad Boy;('æ', 'ì');1
Bad Boy;('ì', ' ');1
Bad Boy;(' ', 'a');43
Bad Boy;('a', 'l');16
Bad Boy;('l', 'r');2
Bad Boy;('r', 'i');13
Bad Boy;('i', 'g');8
Bad Boy;('g', 'h');8
Bad Boy;('h', 't');9
Bad Boy;('t', ' ');64
Bad Boy;(' ', 'g');21
Bad Boy;('g', 'e');20
Bad Boy;('e', 'e');19
Bad Boy;('e', 'z');1
Bad Boy;('z', 'e');1
Bad Boy;('e', 'r');35
Bad Boy;('r', '?');6
Bad Boy;('?', ' ');31
Bad Boy;(' ', 'I');41
Bad Boy;('I', ' ');34
Bad Boy;(' ', 'w');25
Bad Boy;('w', 'a');2
Bad Boy;('a', 'n');60
Bad Boy;('n', 't');6
Bad Boy;(' ', 't');80
Bad Boy;('t', 'o');20
Bad Boy;('o', ' ');20
Bad Boy;('t', 'r');8
Bad Boy;('r', 'a');8
Bad Boy;('a', 'd');7
Bad Boy;('d', 'e');17
Bad Boy;('e', '.');10
Bad Boy;('.', ' ');65
Bad Boy;(' ', 'T');6
Bad Boy;('T', 'h');4
Bad Boy;('h', 'e');44
Bad Boy;('e', ' ');92
Bad Boy;(' ', 'b');34
Bad Boy;('b', 'o');8
Bad Boy;('o', 'y');2
Bad Boy;('y', 's');1
Bad Boy;('s', ' ');54
Bad Boy;(' ', 'l');19
Bad Boy;('l', 'e');15
Bad Boy;('e', 't');21
Bad Boy;(' ', 'm');38
Bad Boy;('m', 'e');24
Bad Boy;(' ', 'k');7
Bad Boy;('k', 'n');4
Bad Boy;('n', 'o');12
Bad Boy;('o', 'w');19
Bad Boy;('w', ' ');15
Bad Boy;(' ', 'y');26
Bad Boy;('y', 'o');21
Bad Boy;('o', 'u');39
Bad Boy;('u', ' ');25
Bad Boy;(' ', 'd');24
Bad Boy;('e', 'a');20
Bad Boy;('l', ' ');15
Bad Boy;(' ', 'i');18
Bad Boy;('i', 'n');46
Bad Boy;('n', ' ');48
Bad Boy;(' ', 'c');28
Bad Boy;('c', 'h');12
Bad Boy;('a', 'p');7
Bad Boy;('p', ' ');11
Bad Boy;('a', 'r');16
Bad Boy;('r', ' ');27
Bad Boy;('n', 'd');20
Bad Boy;('d', ' ');32
Bad Boy;(' ', 'o');19
Bad Boy;('o', 'c');3
Bad Boy;('c', 'c');1
Bad Boy;('c', 'a');23
Bad Boy;('a', 's');14
Bad Boy;('s', 'i');9
Bad Boy;('i', 'o');5
Bad Boy;('o', 'n');21
Bad Boy;('n', 'a');15
Bad Boy;('l', 'l');20
Bad Boy;('l', 'y');6
Bad Boy;('y', ' ');36
Bad Boy;(' ', 's');42
Bad Boy;('s', 'o');12
Bad Boy;('o', 'm');13
Bad Boy;('s', 'e');19
Bad Boy;('e', 'l');11
Bad Boy;(' ', 'e');8
Bad Boy;('e', 'v');3
Bad Boy;('v', 'e');14
Bad Boy;('r', 'y');5
Bad Boy;(' ', 'n');27
Bad Boy;('t', 'h');59
Bad Boy;('e', 'n');20
Bad Boy;('n', 'e');21
Bad Boy;('e', 'd');9
Bad Boy;('b', 'u');10
Bad Boy;('u', 'y');4
Bad Boy;('y', '.');4
Bad Boy;('.', '.');47
Bad Boy;(' ', 'Y');17
Bad Boy;('Y', 'e');11
Bad Boy;('w', ',');2
Bad Boy;(',', ' ');5
Bad Boy;(' ', ' ');3
Bad Boy;('l', 'i');12
Bad Boy;('i', 's');23
Bad Boy;('s', 't');25
Bad Boy;('t', 'e');6
Bad Boy;('I', "'");3
Bad Boy;("'", 'm');2
Bad Boy;('m', ' ');5
Bad Boy;('o', 'r');20
Bad Boy;('r', 'r');9
Bad Boy;('m', 'a');11
Bad Boy;('u', 't');4
Bad Boy;('r', 'n');2
Bad Boy;('m', 'y');6
Bad Boy;('e', 's');28
Bad Boy;('s', 's');12
Bad Boy;('n', '.');13
Bad Boy;('I', 't');1
Bad Boy;('w', 'o');6
Bad Boy;('n', "'");9
Bad Boy;("'", 't');9
Bad Boy;(' ', 'h');11
Bad Boy;('h', 'a');21
Bad Boy;('p', 'p');4
Bad Boy;('p', 'e');5
Bad Boy;('a', 'g');7
Bad Boy;('g', 'a');3
Bad Boy;('a', 'i');5
Bad Boy;(' ', 'p');11
Bad Boy;('p', 'r');5
Bad Boy;('r', 'o');9
Bad Boy;('m', 'i');9
Bad Boy;('h', 'i');20
Bad Boy;('t', 'i');8
Bad Boy;('i', 'm');5
Bad Boy;('i', 't');13
Bad Boy;('w', 'i');8
Bad Boy;('i', 'l');6
Bad Boy;('b', 'e');7
Bad Boy;('d', 'i');4
Bad Boy;('i', 'f');2
Bad Boy;('f', 'f');6
Bad Boy;('f', 'e');5
Bad Boy;('r', 'e');20
Bad Boy;('t', '.');8
Bad Boy;(' ', 'S');4
Bad Boy;('S', 'e');2
Bad Boy;('u', 's');17
Bad Boy;('s', 'l');2
Bad Boy;('r', 'u');3
Bad Boy;('a', 'k');6
Bad Boy;('k', 'e');12
Bad Boy;('s', 'a');7
