Sender|Ngram|Count
46708275344@s.whatsapp.net|('Absolutely', 'dude')|1
46708275344@s.whatsapp.net|('dude', '.')|2
46708275344@s.whatsapp.net|('.', 'Now')|1
46708275344@s.whatsapp.net|('Now', 'go')|1
46708275344@s.whatsapp.net|('go', 'and')|1
46708275344@s.whatsapp.net|('and', 'get')|2
46708275344@s.whatsapp.net|('get', 'some')|1
46708275344@s.whatsapp.net|('some', 'gear')|1
46708275344@s.whatsapp.net|('gear', 'for')|1
46708275344@s.whatsapp.net|('for', 'us')|1
46708275344@s.whatsapp.net|('us', 'to')|1
46708275344@s.whatsapp.net|('to', 'sell')|2
46708275344@s.whatsapp.net|('sell', '....')|1
46708275344@s.whatsapp.net|('....', 'Maybe')|1
46708275344@s.whatsapp.net|('Maybe', '🙂')|1
46708275344@s.whatsapp.net|('🙂', '😃')|1
46708275344@s.whatsapp.net|('😃', 'nan')|2
46708275344@s.whatsapp.net|('nan', 'Do')|1
46708275344@s.whatsapp.net|('Do', 'it')|1
46708275344@s.whatsapp.net|('it', '.')|2
46708275344@s.whatsapp.net|('.', 'Grab')|1
46708275344@s.whatsapp.net|('Grab', 'some')|1
46708275344@s.whatsapp.net|('some', 'goodies')|1
46708275344@s.whatsapp.net|('goodies', '😋')|1
46708275344@s.whatsapp.net|('😋', 'Never')|1
46708275344@s.whatsapp.net|('Never', 'seen')|1
46708275344@s.whatsapp.net|('seen', 'one')|1
46708275344@s.whatsapp.net|('one', 'of')|1
46708275344@s.whatsapp.net|('of', 'them')|1
46708275344@s.whatsapp.net|('them', 'in')|1
46708275344@s.whatsapp.net|('in', 'Sweden')|2
46708275344@s.whatsapp.net|('Sweden', '😅')|1
46708275344@s.whatsapp.net|('😅', 'Yes')|1
46708275344@s.whatsapp.net|('Yes', 'nan')|1
46708275344@s.whatsapp.net|('nan', 'Got')|2
46708275344@s.whatsapp.net|('Got', 'myself')|1
46708275344@s.whatsapp.net|('myself', 'some')|1
46708275344@s.whatsapp.net|('some', 'GOLD')|1
46708275344@s.whatsapp.net|('GOLD', '😉')|1
46708275344@s.whatsapp.net|('😉', 'Holy')|1
46708275344@s.whatsapp.net|('Holy', 'shot')|1
46708275344@s.whatsapp.net|('shot', 'x100')|1
46708275344@s.whatsapp.net|('x100', 'zoom')|1
46708275344@s.whatsapp.net|('zoom', 'Shit')|1
46708275344@s.whatsapp.net|('Shit', 'this')|1
46708275344@s.whatsapp.net|('this', 'camera')|1
46708275344@s.whatsapp.net|('camera', 'is')|1
46708275344@s.whatsapp.net|('is', 'awesome')|1
46708275344@s.whatsapp.net|('awesome', 'Hey')|1
46708275344@s.whatsapp.net|('Hey', 'where')|1
46708275344@s.whatsapp.net|('where', 'is')|1
46708275344@s.whatsapp.net|('is', 'the')|1
46708275344@s.whatsapp.net|('the', 'money')|4
46708275344@s.whatsapp.net|('money', '?')|1
46708275344@s.whatsapp.net|('?', 'https')|1
46708275344@s.whatsapp.net|('https', ':')|1
46708275344@s.whatsapp.net|(':', '//www.bloomberg.com/news/articles/2021-02-24/swedish-pm-sees-high-risk-of-new-wave-of-covid-infections')|1
46708275344@s.whatsapp.net|('//www.bloomberg.com/news/articles/2021-02-24/swedish-pm-sees-high-risk-of-new-wave-of-covid-infections', 'Be')|1
46708275344@s.whatsapp.net|('Be', 'careful')|1
46708275344@s.whatsapp.net|('careful', 'OK')|1
46708275344@s.whatsapp.net|('OK', '...')|1
46708275344@s.whatsapp.net|('...', 'You')|1
46708275344@s.whatsapp.net|('You', 'are')|2
46708275344@s.whatsapp.net|('are', 'mental')|1
46708275344@s.whatsapp.net|('mental', '.')|1
46708275344@s.whatsapp.net|('.', 'I')|4
46708275344@s.whatsapp.net|('I', 'like')|2
46708275344@s.whatsapp.net|('like', 'it')|1
46708275344@s.whatsapp.net|('it', '👌')|1
46708275344@s.whatsapp.net|('👌', 'U')|1
