Sender1,Sender2,Similarity
Maverick,46708275344@s.whatsapp.net,0.9789
Goose System,Maverick,0.9061
Maverick SOB,Maverick,0.9037
Maverick SOB,Goose System,0.8900
Goose System,46708275344@s.whatsapp.net,0.8845
status@broadcast,Rupert Beae,0.8749
Maverick SOB,Bad Boy,0.8575
Maverick SOB,46708275344@s.whatsapp.net,0.8544
ladyancy96,blondtrip24,0.8175
Maverick,Bad Boy,0.8148
Rupert Beae,Maverick SOB,0.8070
Goose System,Bad Boy,0.8001
Big Boss,Maverick.4444,0.7952
46708275344@s.whatsapp.net,Bad Boy,0.7752
Maverick SOB,Goldy Finger,0.7729
Rupert Beae,Goldy Finger,0.7677
Goldfinger,Maverick,0.7655
Maverick SOB,Goldfinger,0.7622
Maverick,Jose Topgun,0.7590
Big Boss,Maverick SOB,0.7573
Goldfinger,Goose System,0.7535
Maverick SOB,Goose,0.7510
Jose Topgun,46708275344@s.whatsapp.net,0.7489
Goose System,Jose Topgun,0.7476
Maverick,Maverick.4444,0.7462
Goldfinger,46708275344@s.whatsapp.net,0.7416
Big Boss,Maverick,0.7408
Big Boss,Bad Boy,0.7407
Maverick SOB,Jose Topgun,0.7406
Goose System,Goose,0.7403
Goose,Maverick,0.7390
Goose System,Maverick.4444,0.7345
Rupert Beae,Maverick,0.7338
Maverick SOB,Maverick.4444,0.7322
Maverick SOB,Twilight Grey,0.7321
Rupert Beae,Goose System,0.7299
Goldy Finger,Maverick,0.7227
Goose System,Twilight Grey,0.7208
Goose System,Goldy Finger,0.7204
Bad Boy,Maverick.4444,0.7163
Goose,46708275344@s.whatsapp.net,0.7156
Maverick,Twilight Grey,0.7104
Rupert Beae,46708275344@s.whatsapp.net,0.7100
status@broadcast,Goldy Finger,0.7074
46708275344@s.whatsapp.net,Maverick.4444,0.7070
Big Boss,Goose System,0.7044
Goldfinger,Twilight Grey,0.7041
Big Boss,46708275344@s.whatsapp.net,0.6971
Goldy Finger,46708275344@s.whatsapp.net,0.6958
Maverick.4444,Mike.Jonson,0.6955
Unmatched Telegram User,Telegram,0.6954
Goldfinger,Goldy Finger,0.6944
Goose,Bad Boy,0.6888
Rupert Beae,Jose Topgun,0.6780
Goldfinger,Bad Boy,0.6729
Twilight Grey,46708275344@s.whatsapp.net,0.6722
Big Boss,blondtrip24,0.6707
Mike.Jonson,blondtrip24,0.6680
Big Boss,Twilight G,0.6674
Big Boss,Twilight Grey,0.6658
Unmatched Telegram User,Maverick.4444,0.6621
Maverick.4444,blondtrip24,0.6588
Twilight Grey,Bad Boy,0.6583
Big Boss,Mike.Jonson,0.6575
Twilight Grey,Maverick.4444,0.6566
Goldy Finger,Jose Topgun,0.6564
Twilight G,Maverick.4444,0.6552
Jose Topgun,Bad Boy,0.6519
Twilight G,Twilight Grey,0.6503
status@broadcast,Maverick SOB,0.6471
Twilight G,Bad Boy,0.6449
Rupert Beae,Goose,0.6437
Big Boss,Goldfinger,0.6433
Goldfinger,Goose,0.6386
Goldy Finger,Twilight Grey,0.6382
Goldy Finger,Goose,0.6346
Goldy Finger,Bad Boy,0.6305
Goose,Jose Topgun,0.6295
