Sender1,Sender2,Similarity
Maverick,46708275344@s.whatsapp.net,0.9798
Goose System,Maverick,0.9041
Maverick SOB,Maverick,0.8982
Maverick SOB,Goose System,0.8941
status@broadcast,Rupert Beae,0.8819
Goose System,46708275344@s.whatsapp.net,0.8817
Maverick SOB,46708275344@s.whatsapp.net,0.8500
Maverick SOB,Bad Boy,0.8448
Rupert Beae,Maverick SOB,0.8239
ladyancy96,blondtrip24,0.8183
Maverick,Bad Boy,0.8049
Goose System,Bad Boy,0.7918
Big Boss,Maverick.4444,0.7857
Maverick SOB,Goldy Finger,0.7786
Goldfinger,Maverick,0.7712
Maverick SOB,Goldfinger,0.7670
46708275344@s.whatsapp.net,Bad Boy,0.7644
Goldfinger,Goose System,0.7614
Maverick,Jose Topgun,0.7561
Goldfinger,46708275344@s.whatsapp.net,0.7505
Rupert Beae,Goose System,0.7500
Jose Topgun,46708275344@s.whatsapp.net,0.7490
Rupert Beae,Goldy Finger,0.7480
Big Boss,Maverick,0.7415
Rupert Beae,Maverick,0.7372
Goose System,Jose Topgun,0.7349
Goose System,Goldy Finger,0.7324
Big Boss,Bad Boy,0.7314
Big Boss,Maverick SOB,0.7306
Goldy Finger,Maverick,0.7287
Goose,Maverick,0.7267
Maverick,Maverick.4444,0.7235
Maverick SOB,Goose,0.7220
Goose System,Goose,0.7215
Goldfinger,Goldy Finger,0.7165
Maverick SOB,Jose Topgun,0.7145
Rupert Beae,46708275344@s.whatsapp.net,0.7144
Goose,46708275344@s.whatsapp.net,0.7055
Goldy Finger,46708275344@s.whatsapp.net,0.7032
Big Boss,46708275344@s.whatsapp.net,0.7011
Goose System,Maverick.4444,0.6913
46708275344@s.whatsapp.net,Maverick.4444,0.6910
status@broadcast,Maverick SOB,0.6899
Big Boss,Goose System,0.6874
Unmatched Telegram User,Telegram,0.6853
Goose System,Twilight Grey,0.6821
Bad Boy,Maverick.4444,0.6790
Maverick SOB,Twilight Grey,0.6787
Goldfinger,Twilight Grey,0.6784
status@broadcast,Goldy Finger,0.6780
Goose,Bad Boy,0.6774
Maverick,Twilight Grey,0.6765
Maverick SOB,Maverick.4444,0.6764
Big Boss,blondtrip24,0.6760
Unmatched Telegram User,Maverick.4444,0.6703
Mike.Jonson,blondtrip24,0.6683
Maverick.4444,Mike.Jonson,0.6660
Goldfinger,Bad Boy,0.6658
Big Boss,Twilight Grey,0.6617
Big Boss,Twilight G,0.6596
Maverick.4444,blondtrip24,0.6558
Twilight G,Maverick.4444,0.6531
Jose Topgun,Bad Boy,0.6460
Big Boss,Mike.Jonson,0.6454
Twilight Grey,46708275344@s.whatsapp.net,0.6452
Mike.Jonson,ladyancy96,0.6419
Rupert Beae,Goldfinger,0.6404
Big Boss,Jose Topgun,0.6385
Goldy Finger,Bad Boy,0.6345
Twilight Grey,Bad Boy,0.6308
Goldfinger,Goose,0.6276
Big Boss,Goldfinger,0.6260
Goldy Finger,Jose Topgun,0.6250
Goldfinger,Jose Topgun,0.6234
Twilight Grey,Maverick.4444,0.6220
Rupert Beae,Jose Topgun,0.6219
Big Boss,Goose.4444,0.6186
Rupert Beae,Bad Boy,0.6162
Twilight G,Twilight Grey,0.6090
Twilight G,Bad Boy,0.6089
Goldy Finger,Twilight Grey,0.6041
Goose,Jose Topgun,0.5998
status@broadcast,Goose System,0.5936
Goldy Finger,Goose,0.5931
Maverick,Goose.4444,0.5910
Rupert Beae,Goose,0.5903
Big Boss,ladyancy96,0.5897
Maverick,Twilight G,0.5894
Unmatched Telegram User,Big Boss,0.5842
Mike Jonson,Maverick.4444,0.5787
Goldfinger,Maverick.4444,0.5783
Big Boss,Goose,0.5780
Jose Topgun,Maverick.4444,0.5763
Maverick SOB,Goose.4444,0.5712
Maverick SOB,Twilight G,0.5661
Maverick SOB,blondtrip24,0.5628
Twilight G,46708275344@s.whatsapp.net,0.5614
46708275344@s.whatsapp.net,Goose.4444,0.5597
Maverick.4444,ladyancy96,0.5586
Maverick.4444,Gooooosssse,0.5567
Goldfinger,Goose.4444,0.5542
status@broadcast,Maverick,0.5516
Big Boss,Gooooosssse,0.5509
Maverick,blondtrip24,0.5473
Unmatched Telegram User,Twilight G,0.5452
Twilight Grey,Goose.4444,0.5429
Goose,Twilight Grey,0.5418
Big Boss,Mike Jonson,0.5385
Goose System,Goose.4444,0.5367
Bad Boy,blondtrip24,0.5333
status@broadcast,46708275344@s.whatsapp.net,0.5328
Goose System,Twilight G,0.5325
Telegram,Maverick.4444,0.5302
Goose.4444,blondtrip24,0.5279
Jose Topgun,Twilight Grey,0.5265
Goose,Maverick.4444,0.5257
Twilight Grey,Mike.Jonson,0.5247
Big Boss,Goldy Finger,0.5217
Twilight G,Mike.Jonson,0.5201
Bad Boy,Mike.Jonson,0.5174
Maverick.4444,Goose.4444,0.5164
Bad Boy,Goose.4444,0.5157
Twilight G,Gooooosssse,0.5141
Goose System,blondtrip24,0.5121
Twilight Grey,blondtrip24,0.5090
Goose,Twilight G,0.5078
Michael Jonson,Maverick SOB,0.5065
Maverick,Mike Jonson,0.5057
Maverick SOB,Mike.Jonson,0.5044
status@broadcast,Goldfinger,0.5021
Twilight G,blondtrip24,0.5011
