Sender,TokenCount
Bad Boy,≡ƒæì,1
Bad Boy,alright,1
Bad Boy,geezer,1
Bad Boy,?,45
Bad Boy,I,37
Bad Boy,want,1
Bad Boy,to,11
Bad Boy,trade,3
Bad Boy,.,44
Bad Boy,The,2
Bad Boy,boys,1
Bad Boy,let,5
Bad Boy,me,9
Bad Boy,know,4
Bad Boy,you,19
Bad Boy,deal,5
Bad Boy,in,8
Bad Boy,cheap,1
Bad Boy,gear,6
Bad Boy,and,9
Bad Boy,occasionally,1
Bad Boy,get,5
Bad Boy,some,4
Bad Boy,sell,4
Bad Boy,every,1
Bad Boy,now,3
Bad Boy,then,3
Bad Boy,need,6
Bad Boy,buy,4
Bad Boy,...,10
Bad Boy,Yer,2
Bad Boy,,,5
Bad Boy,listen,1
Bad Boy,'m,2
Bad Boy,sorry,1
Bad Boy,man,7
Bad Boy,but,2
Bad Boy,learnt,1
Bad Boy,my,6
Bad Boy,lesson,1
Bad Boy,It,1
Bad Boy,wo,3
Bad Boy,n't,9
Bad Boy,happen,1
Bad Boy,again,3
Bad Boy,promise,2
Bad Boy,This,2
Bad Boy,time,3
Bad Boy,it,4
Bad Boy,will,4
Bad Boy,be,4
Bad Boy,different,1
Bad Boy,..,6
Bad Boy,Seriously,1
Bad Boy,can,9
Bad Boy,trust,2
Bad Boy,make,2
Bad Boy,the,21
Bad Boy,same,1
Bad Boy,mistake,1
Bad Boy,twice,1
Bad Boy,pay,2
Bad Boy,on,1
Bad Boy,keep,2
Bad Boy,your,2
Bad Boy,secrets,1
Bad Boy,In,1
Bad Boy,honor,1
Bad Boy,Ok,10
Bad Boy,understand,2
Bad Boy,thanks,2
Bad Boy,Did,2
Bad Boy,he,1
Bad Boy,say,2
Bad Boy,yes,3
Bad Boy,nan,14
Bad Boy,Yes,7
Bad Boy,ok,4
Bad Boy,You,6
Bad Boy,regret,1
Bad Boy,boss,2
Bad Boy,do,4
Bad Boy,heard,1
Bad Boy,these,1
Bad Boy,apartments,1
Bad Boy,are,2
Bad Boy,super,1
Bad Boy,expensive,2
Bad Boy,https,2
Bad Boy,:,2
Bad Boy,//images.app.goo.gl/W8yKUaPs697HTjms6,1
Bad Boy,How,3
Bad Boy,about,2
Bad Boy,this,10
Bad Boy,9000kr,1
Bad Boy,should,2
Bad Boy,enough,1
Bad Boy,little,1
Bad Boy,lot,2
Bad Boy,go,1
Bad Boy,friend,2
Bad Boy,'s,8
Bad Boy,meet,2
Bad Boy,up,4
Bad Boy,today,1
Bad Boy,for,5
Bad Boy,exchange,3
Bad Boy,bring,3
Bad Boy,cash,6
Bad Boy,Next,1
Bad Boy,30,2
Bad Boy,mins,2
Bad Boy,money,1
Bad Boy,By,1
Bad Boy,way,1
Bad Boy,stop,3
Bad Boy,calling,1
Bad Boy,'shortly,1
Bad Boy,',1
Bad Boy,Pleasure,2
Bad Boy,doing,2
Bad Boy,business,4
Bad Boy,with,2
Bad Boy,One,1
Bad Boy,good,3
Bad Boy,deserves,1
Bad Boy,another,2
Bad Boy,So,2
