Sender;Ngram;Count
Bad Boy;('≡', 'ƒ', 'æ');1
Bad Boy;('ƒ', 'æ', 'ì');1
Bad Boy;('æ', 'ì', ' ');1
Bad Boy;('ì', ' ', 'a');1
Bad Boy;(' ', 'a', 'l');6
Bad Boy;('a', 'l', 'r');1
Bad Boy;('l', 'r', 'i');2
Bad Boy;('r', 'i', 'g');3
Bad Boy;('i', 'g', 'h');7
Bad Boy;('g', 'h', 't');7
Bad Boy;('h', 't', ' ');4
Bad Boy;('t', ' ', 'g');2
Bad Boy;(' ', 'g', 'e');12
Bad Boy;('g', 'e', 'e');1
Bad Boy;('e', 'e', 'z');1
Bad Boy;('e', 'z', 'e');1
Bad Boy;('z', 'e', 'r');1
Bad Boy;('e', 'r', '?');4
Bad Boy;('r', '?', ' ');4
Bad Boy;('?', ' ', 'I');4
Bad Boy;(' ', 'I', ' ');34
Bad Boy;('I', ' ', 'w');4
Bad Boy;(' ', 'w', 'a');2
Bad Boy;('w', 'a', 'n');1
Bad Boy;('a', 'n', 't');1
Bad Boy;('n', 't', ' ');2
Bad Boy;('t', ' ', 't');11
Bad Boy;(' ', 't', 'o');17
Bad Boy;('t', 'o', ' ');11
Bad Boy;('o', ' ', 't');3
Bad Boy;(' ', 't', 'r');8
Bad Boy;('t', 'r', 'a');5
Bad Boy;('r', 'a', 'd');3
Bad Boy;('a', 'd', 'e');4
Bad Boy;('d', 'e', '.');2
Bad Boy;('e', '.', ' ');9
Bad Boy;('.', ' ', 'T');5
Bad Boy;(' ', 'T', 'h');4
Bad Boy;('T', 'h', 'e');2
Bad Boy;('h', 'e', ' ');24
Bad Boy;('e', ' ', 'b');6
Bad Boy;(' ', 'b', 'o');6
Bad Boy;('b', 'o', 'y');2
Bad Boy;('o', 'y', 's');1
Bad Boy;('y', 's', ' ');1
Bad Boy;('s', ' ', 'l');3
Bad Boy;(' ', 'l', 'e');7
Bad Boy;('l', 'e', 't');5
Bad Boy;('e', 't', ' ');11
Bad Boy;('t', ' ', 'm');9
Bad Boy;(' ', 'm', 'e');13
Bad Boy;('m', 'e', ' ');17
Bad Boy;('e', ' ', 'k');1
Bad Boy;(' ', 'k', 'n');4
Bad Boy;('k', 'n', 'o');4
Bad Boy;('n', 'o', 'w');7
Bad Boy;('o', 'w', ' ');13
Bad Boy;('w', ' ', 'y');2
Bad Boy;(' ', 'y', 'o');21
Bad Boy;('y', 'o', 'u');21
Bad Boy;('o', 'u', ' ');24
Bad Boy;('u', ' ', 'd');2
Bad Boy;(' ', 'd', 'e');9
Bad Boy;('d', 'e', 'a');5
Bad Boy;('e', 'a', 'l');7
Bad Boy;('a', 'l', ' ');2
Bad Boy;('l', ' ', 'i');1
Bad Boy;(' ', 'i', 'n');9
Bad Boy;('i', 'n', ' ');10
Bad Boy;('n', ' ', 'c');3
Bad Boy;(' ', 'c', 'h');3
Bad Boy;('c', 'h', 'e');2
Bad Boy;('h', 'e', 'a');2
Bad Boy;('e', 'a', 'p');1
Bad Boy;('a', 'p', ' ');2
Bad Boy;('p', ' ', 'g');1
Bad Boy;('g', 'e', 'a');6
Bad Boy;('e', 'a', 'r');8
Bad Boy;('a', 'r', ' ');5
Bad Boy;('r', ' ', 'a');7
Bad Boy;(' ', 'a', 'n');14
Bad Boy;('a', 'n', 'd');12
Bad Boy;('n', 'd', ' ');13
Bad Boy;('d', ' ', 'o');1
Bad Boy;(' ', 'o', 'c');1
Bad Boy;('o', 'c', 'c');1
Bad Boy;('c', 'c', 'a');1
Bad Boy;('c', 'a', 's');7
Bad Boy;('a', 's', 'i');1
Bad Boy;('s', 'i', 'o');1
Bad Boy;('i', 'o', 'n');3
Bad Boy;('o', 'n', 'a');1
Bad Boy;('n', 'a', 'l');1
Bad Boy;('a', 'l', 'l');6
Bad Boy;('l', 'l', 'y');3
Bad Boy;('l', 'y', ' ');3
