Sender Names|Sender AppID|Recipient Names|Recipient AppID|Text|Timestamp|Direction
Goldy Finger|100063606951015|Jose Topgun|100064031851829|Alright geezer!|20.02.2021 18:38:41 UTC+01:00  |Outgoing
Jose Topgun|100064031851829|Goldy Finger|100063606951015|LMAO donut ≡ƒÿé|21.02.2021 08:20:44 UTC+01:00  |Incoming
Goldy Finger|100063606951015|Jose Topgun|100064031851829|Chillar h├ñr≡ƒÿÄ|21.02.2021 08:21:49 UTC+01:00  |Outgoing
Jose Topgun|100064031851829|Goldy Finger|100063606951015||21.02.2021 08:38:13 UTC+01:00  |Incoming
Goldy Finger|100063606951015|Jose Topgun|100064031851829||25.02.2021 10:04:28 UTC+01:00  |Outgoing
Goldy Finger|100063606951015|Jose Topgun|100064031851829|I got flowers.... did you send them?|25.02.2021 10:04:45 UTC+01:00  |Outgoing
Jose Topgun|100064031851829|Goldy Finger|100063606951015|Nope this is what we need.....|25.02.2021 13:18:07 UTC+01:00  |Incoming
Goldy Finger|100063606951015|Jose Topgun|100064031851829|Maaan u crazy|25.02.2021 13:41:48 UTC+01:00  |Outgoing
Goldy Finger|100063606951015|Jose Topgun|100064031851829|DonΓÇÖt send stuff like that|25.02.2021 13:42:04 UTC+01:00  |Outgoing
Goldy Finger|100063606951015|Jose Topgun|100064031851829|What if the police finds it|25.02.2021 13:42:16 UTC+01:00  |Outgoing
Jose Topgun|100064031851829|Goldy Finger|100063606951015|Nah they'll never take me alive dude. They can't touch this stuff if you delete it.\nI think?|25.02.2021 18:38:44 UTC+01:00  |Incoming
Goldy Finger|100063606951015|Jose Topgun|100064031851829|Should I delete your message?|25.02.2021 20:10:41 UTC+01:00  |Outgoing
Goldy Finger|100063606951015|Jose Topgun|100064031851829|Done that|25.02.2021 20:24:04 UTC+01:00  |Outgoing
Jose Topgun|100064031851829|Goldy Finger|100063606951015|Ice ice baby|27.02.2021 12:44:39 UTC+01:00  |Incoming
Jose Topgun|100064031851829|Goldy Finger|100063606951015||27.02.2021 12:44:48 UTC+01:00  |Incoming
Goldy Finger|100063606951015|Jose Topgun|100064031851829|Is that what killed the Titanic?!?|27.02.2021 19:50:20 UTC+01:00  |Outgoing
Goldy Finger|100063606951015|Jose Topgun|100064031851829|An iceberg|27.02.2021 19:50:34 UTC+01:00  |Outgoing
Goldy Finger|100063606951015|Jose Topgun|100064031851829||04.03.2021 12:49:53 UTC+01:00  |Outgoing
Jose Topgun|100064031851829|Goldy Finger|100063606951015||04.03.2021 17:15:11 UTC+01:00  |Incoming
Jose Topgun|100064031851829|Goldy Finger|100063606951015|Grab the loot and let's get rich|04.03.2021 17:15:29 UTC+01:00  |Incoming
Goldy Finger|100063606951015|Jose Topgun|100064031851829|Yeah letΓÇÖs go|05.03.2021 18:23:43 UTC+01:00  |Outgoing
Jose Topgun|100064031851829|Goldy Finger|100063606951015||05.03.2021 20:02:10 UTC+01:00  |Incoming
Jose Topgun|100064031851829|Goldy Finger|100063606951015|I am in the zone baby ≡ƒì╝|05.03.2021 20:02:18 UTC+01:00  |Incoming
Goldy Finger|100063606951015|Jose Topgun|100064031851829|Right place to ≡ƒÉ¥|05.03.2021 20:22:05 UTC+01:00  |Outgoing
Jose Topgun|100064031851829|Goldy Finger|100063606951015|Kommunist it isn't...|06.03.2021 09:48:26 UTC+01:00  |Incoming
Goldy Finger|100063606951015|Jose Topgun|100064031851829||06.03.2021 17:13:28 UTC+01:00  |Outgoing
Goldy Finger|100063606951015|Jose Topgun|100064031851829|Sp├Ñnga|06.03.2021 17:13:35 UTC+01:00  |Outgoing
Goldy Finger|100063606951015|Jose Topgun|100064031851829|Great places|06.03.2021 17:25:29 UTC+01:00  |Outgoing
Goldy Finger|100063606951015|Jose Topgun|100064031851829||06.03.2021 17:25:46 UTC+01:00  |Outgoing
Jose Topgun|100064031851829|Goldy Finger|100063606951015|You here too huh?|06.03.2021 17:43:37 UTC+01:00  |Incoming
Goldy Finger|100063606951015|Jose Topgun|100064031851829|Yeah, thought I might see u|06.03.2021 17:46:45 UTC+01:00  |Outgoing
Jose Topgun|100064031851829|Goldy Finger|100063606951015||06.03.2021 17:47:37 UTC+01:00  |Incoming
Jose Topgun|100064031851829|Goldy Finger|100063606951015|This is the target....|06.03.2021 17:47:46 UTC+01:00  |Incoming
Goldy Finger|100063606951015|Jose Topgun|100064031851829|Ok I know this place well|06.03.2021 17:52:59 UTC+01:00  |Outgoing
Jose Topgun|100064031851829|Goldy Finger|100063606951015|Location-sharing ended|08.03.2021 18:57:52 UTC+01:00  |Incoming
Jose Topgun|100064031851829|Goldy Finger|100063606951015||08.03.2021 18:58:00 UTC+01:00  |Incoming
Jose Topgun|100064031851829|Goldy Finger|100063606951015|You want me to get you something nice from the jewelry collection?|12.03.2021 19:17:49 UTC+01:00  |Incoming
Jose Topgun|100064031851829|Goldy Finger|100063606951015|https://youtube.com/watch?v=CNTM9iM1eVw&feature=share|12.03.2021 20:25:27 UTC+01:00  |Incoming
Goldy Finger|100063606951015|Jose Topgun|100064031851829|Fork handles are very useful|13.03.2021 18:32:29 UTC+01:00  |Outgoing
