Sender 1,Sender 2,Similarity
46708275344@s.whatsapp.net,Big Boss,0.8374436264206097
46708275344@s.whatsapp.net,Goldfinger,0.8067001015076453
46708275344@s.whatsapp.net,Goose,0.9024893477141046
46708275344@s.whatsapp.net,Goose System,0.9528029946873129
46708275344@s.whatsapp.net,Jose Topgun,0.8707287084988701
46708275344@s.whatsapp.net,Maverick,0.9800792891399177
46708275344@s.whatsapp.net,Maverick SOB,0.9248143815230588
Bad Boy,Goose,0.8157407851210773
Bad Boy,Goose System,0.8044804906329464
Bad Boy,Maverick,0.8209029657495092
Bad Boy,Maverick SOB,0.8937804997931765
Big Boss,Goose System,0.9192196324902815
Big Boss,Maverick,0.8837767396615767
Big Boss,Maverick SOB,0.8387838864940897
Big Boss,Twilight Grey,0.8096091488434739
Goldfinger,Goldy Finger,0.9197936450110683
Goldfinger,Rupert Beae,0.8502075472758414
Goldfinger SOB,TwilightGrey,0.8320502943378437
Goldy Finger,Jose Topgun,0.8048934102475991
Gooooosssse,maverick,0.8830036418226607
Goose,Goose System,0.9125088752541856
Goose,Jose Topgun,0.8776640322777649
Goose,Maverick,0.9051256547508126
Goose,Maverick SOB,0.9404024382690086
Goose System,Jose Topgun,0.92277933524699
Goose System,Maverick,0.9712123363161843
Goose System,Maverick SOB,0.943524742036789
Goose System,Twilight Grey,0.8127726476750499
Goose.4444,TwilightGrey,0.8540424814713791
Jose Topgun,Maverick,0.8857936704416499
Jose Topgun,Maverick SOB,0.9110401164199838
Jose Topgun,Twilight Grey,0.8013022247143964
Jose Topgun,TwilightGrey,0.8266705290261502
KakaoTalk,Michael Jonson,0.8764598212022147
Maverick,Maverick SOB,0.9323557993778052
Maverick,Twilight Grey,0.8053607501395138
Mike.Jonson,blondtrip24,0.905563778327274
Twi Grey,Twilight G,0.8663864733868616
Twi Grey,Twilight Grey,0.8331863030848141
Twilight G,Twilight Grey,0.8836894434351417
