Sender1,Sender2,Similarity
46708275344@s.whatsapp.net,Bad Boy,0.81
46708275344@s.whatsapp.net,Big Boss,0.79
46708275344@s.whatsapp.net,Goldfinger,0.71
46708275344@s.whatsapp.net,Goldy Finger,0.69
46708275344@s.whatsapp.net,Gooooosssse,0.53
46708275344@s.whatsapp.net,Goose,0.56
46708275344@s.whatsapp.net,Goose System,0.88
46708275344@s.whatsapp.net,Goose.4444,0.57
46708275344@s.whatsapp.net,Jose Topgun,0.73
46708275344@s.whatsapp.net,Maverick,0.98
46708275344@s.whatsapp.net,Maverick SOB,0.89
46708275344@s.whatsapp.net,Maverick.4444,0.80
46708275344@s.whatsapp.net,Michael Jonson,0.50
46708275344@s.whatsapp.net,Mike Jonson,0.57
46708275344@s.whatsapp.net,Mike.Jonson,0.60
46708275344@s.whatsapp.net,Rupert Beae,0.73
46708275344@s.whatsapp.net,Telegram,0.54
46708275344@s.whatsapp.net,Twilight G,0.64
46708275344@s.whatsapp.net,Twilight Grey,0.71
46708275344@s.whatsapp.net,Unmatched Telegram User,0.62
46708275344@s.whatsapp.net,blondtrip24,0.63
46708275344@s.whatsapp.net,ladyancy96,0.52
Bad Boy,Big Boss,0.80
Bad Boy,Goldfinger,0.65
Bad Boy,Goldy Finger,0.64
Bad Boy,Gooooosssse,0.51
Bad Boy,Goose,0.53
Bad Boy,Goose System,0.81
Bad Boy,Goose.4444,0.56
Bad Boy,Jose Topgun,0.66
Bad Boy,Maverick,0.83
Bad Boy,Maverick SOB,0.86
Bad Boy,Maverick.4444,0.80
Bad Boy,Mike Jonson,0.60
Bad Boy,Mike.Jonson,0.63
Bad Boy,Rupert Beae,0.62
Bad Boy,Telegram,0.55
Bad Boy,Twilight G,0.60
Bad Boy,Twilight Grey,0.63
Bad Boy,Unmatched Telegram User,0.66
Bad Boy,blondtrip24,0.62
Bad Boy,ladyancy96,0.52
Big Boss,Goldfinger,0.65
Big Boss,Goldy Finger,0.61
Big Boss,Gooooosssse,0.51
Big Boss,Goose,0.51
Big Boss,Goose System,0.78
Big Boss,Goose.4444,0.58
Big Boss,Jose Topgun,0.65
Big Boss,Maverick,0.82
Big Boss,Maverick SOB,0.84
Big Boss,Maverick.4444,0.78
Big Boss,Mike Jonson,0.58
Big Boss,Mike.Jonson,0.63
Big Boss,Rupert Beae,0.58
Big Boss,Telegram,0.54
Big Boss,Twilight G,0.61
Big Boss,Twilight Grey,0.65
Big Boss,Unmatched Telegram User,0.64
Big Boss,blondtrip24,0.67
Big Boss,ladyancy96,0.59
Goldfinger,Goldy Finger,0.69
Goldfinger,Goose System,0.72
Goldfinger,Jose Topgun,0.53
Goldfinger,Maverick,0.72
Goldfinger,Maverick SOB,0.70
Goldfinger,Maverick.4444,0.65
Goldfinger,Rupert Beae,0.52
Goldfinger,Twilight G,0.54
Goldfinger,Twilight Grey,0.64
Goldfinger,Unmatched Telegram User,0.58
Goldfinger,blondtrip24,0.51
Goldy Finger,Goose System,0.70
Goldy Finger,Jose Topgun,0.62
Goldy Finger,Maverick,0.71
Goldy Finger,Maverick SOB,0.72
Goldy Finger,Maverick.4444,0.62
Goldy Finger,Rupert Beae,0.61
Goldy Finger,Twilight G,0.52
Goldy Finger,Twilight Grey,0.59
Goldy Finger,Unmatched Telegram User,0.55
Gooooosssse,Goose System,0.52
Gooooosssse,Maverick,0.53
Gooooosssse,Maverick SOB,0.51
Gooooosssse,Maverick.4444,0.51
Goose,Goose System,0.58
Goose,Maverick,0.57
Goose,Maverick SOB,0.59
Goose,Maverick.4444,0.52
Goose System,Goose.4444,0.56
Goose System,Jose Topgun,0.71
Goose System,Maverick,0.89
Goose System,Maverick SOB,0.88
Goose System,Maverick.4444,0.80
Goose System,Mike Jonson,0.57
Goose System,Mike.Jonson,0.62
Goose System,Rupert Beae,0.69
Goose System,Telegram,0.54
Goose System,Twilight G,0.67
Goose System,Twilight Grey,0.75
Goose System,Unmatched Telegram User,0.64
Goose System,blondtrip24,0.63
Goose System,ladyancy96,0.53
Goose.4444,Maverick,0.59
Goose.4444,Maverick SOB,0.60
Goose.4444,Maverick.4444,0.55
Goose.4444,blondtrip24,0.50
Jose Topgun,Maverick,0.76
Jose Topgun,Maverick SOB,0.76
Jose Topgun,Maverick.4444,0.64
Jose Topgun,Michael Jonson,0.60
Jose Topgun,Rupert Beae,0.69
Jose Topgun,Twilight G,0.53
Jose Topgun,Twilight Grey,0.53
Jose Topgun,blondtrip24,0.54
Maverick,Maverick SOB,0.91
Maverick,Maverick.4444,0.82
Maverick,Michael Jonson,0.52
Maverick,Mike Jonson,0.59
Maverick,Mike.Jonson,0.63
Maverick,Rupert Beae,0.73
Maverick,Telegram,0.56
Maverick,Twilight G,0.66
Maverick,Twilight Grey,0.73
Maverick,Unmatched Telegram User,0.65
Maverick,blondtrip24,0.66
Maverick,ladyancy96,0.55
Maverick SOB,Maverick.4444,0.82
Maverick SOB,Michael Jonson,0.54
Maverick SOB,Mike Jonson,0.60
Maverick SOB,Mike.Jonson,0.65
Maverick SOB,Rupert Beae,0.76
Maverick SOB,Telegram,0.55
Maverick SOB,Twilight G,0.68
Maverick SOB,Twilight Grey,0.70
Maverick SOB,Unmatched Telegram User,0.65
Maverick SOB,blondtrip24,0.67
Maverick SOB,ladyancy96,0.56
Maverick.4444,Mike Jonson,0.60
Maverick.4444,Mike.Jonson,0.65
Maverick.4444,Rupert Beae,0.60
Maverick.4444,Telegram,0.59
Maverick.4444,Twilight G,0.62
Maverick.4444,Twilight Grey,0.65
Maverick.4444,Unmatched Telegram User,0.67
Maverick.4444,blondtrip24,0.66
Maverick.4444,ladyancy96,0.59
Michael Jonson,Rupert Beae,0.63
Michael Jonson,status@broadcast,0.74
Mike Jonson,blondtrip24,0.51
Mike.Jonson,Twilight Grey,0.54
Mike.Jonson,blondtrip24,0.59
Mike.Jonson,ladyancy96,0.55
Rupert Beae,Twilight Grey,0.53
Rupert Beae,status@broadcast,0.62
Telegram,Unmatched Telegram User,0.77
Twilight G,Twilight Grey,0.69
Twilight Grey,blondtrip24,0.53
Unmatched Telegram User,blondtrip24,0.53
blondtrip24,ladyancy96,0.75
