Platform|Sender Name|Sender AppID|Recipient Name|Recipient AppID|Text|Timestamp|Direction|Attachments
Kik|Mike.Jonson|mike.dickinson_bl8@talk.kik.com|Maverick.4444|maverick.4444_ul7@talk.kik.com|Yet maybe not smart. Good point.|13.03.2021 12:53:15 UTC+01:00|Outgoing|
Kik|Mike.Jonson|mike.dickinson_bl8@talk.kik.com|Maverick.4444|maverick.4444_ul7@talk.kik.com||16.03.2021 11:10:34 UTC+01:00|Outgoing|"{""Path"": ""BadBoy_Samsung_S8/Attachments/File/0/Messages-Chat/Messages-Chat_4/978f131b41e22beffbb911cae0f34ce7.jpg"", ""id"": 3}"
Kik|Maverick.4444|maverick.4444_ul7@talk.kik.com|Mike.Jonson||No thanks|16.03.2021 11:39:31 UTC+01:00|Incoming|
Kik|Maverick.4444|maverick.4444_ul7@talk.kik.com|Mike.Jonson||Should u be using this channel?|28.03.2021 12:18:13 UTC+02:00|Incoming|
Kik|Mike.Jonson|mike.dickinson_bl8@talk.kik.com|Maverick.4444|maverick.4444_ul7@talk.kik.com|So what's up dog?|28.03.2021 12:18:13 UTC+02:00|Outgoing|
Kik|Mike.Jonson|mike.dickinson_bl8@talk.kik.com|blondtrip24|blondtrip24_cre@talk.kik.com|Hi Sadie. I am shy.|28.03.2021 12:17:43 UTC+02:00|Outgoing|
Kik|blondtrip24|blondtrip24_cre@talk.kik.com|Mike.Jonson||Do u recognize me? iono how i have your num in my contacts but it recommended I add ya,,,|28.03.2021 12:19:00 UTC+02:00|Incoming|
Kik|Mike.Jonson|mike.dickinson_bl8@talk.kik.com|blondtrip24|blondtrip24_cre@talk.kik.com|No sorry. I don't know many ladies.|28.03.2021 12:19:25 UTC+02:00|Outgoing|
Kik|Mike.Jonson|mike.dickinson_bl8@talk.kik.com|blondtrip24|blondtrip24_cre@talk.kik.com|This is a wild guess but do you have a roomie...?|28.03.2021 12:20:12 UTC+02:00|Outgoing|
Kik|Mike.Jonson|mike.dickinson_bl8@talk.kik.com|blondtrip24|blondtrip24_cre@talk.kik.com|Bingo buzzword quarantine  and social distance?|28.03.2021 12:20:37 UTC+02:00|Outgoing|
Kik|blondtrip24|blondtrip24_cre@talk.kik.com|Mike.Jonson||My girl and i going nutty over here with this social isolation and quarantine,, so what r you doin?|28.03.2021 12:20:42 UTC+02:00|Incoming|
Kik|Mike.Jonson|mike.dickinson_bl8@talk.kik.com|blondtrip24|blondtrip24_cre@talk.kik.com|What do u like to do to kill time?|28.03.2021 12:21:06 UTC+02:00|Outgoing|
Kik|Mike.Jonson|mike.dickinson_bl8@talk.kik.com|blondtrip24|blondtrip24_cre@talk.kik.com|"What sort of ""humans"" are you in 2?"|28.03.2021 12:22:24 UTC+02:00|Outgoing|
Kik|Mike.Jonson|mike.dickinson_bl8@talk.kik.com|blondtrip24|blondtrip24_cre@talk.kik.com|Do you want to ask me a serious question?|28.03.2021 12:22:58 UTC+02:00|Outgoing|
Kik|blondtrip24|blondtrip24_cre@talk.kik.com|Mike.Jonson||What do you like to do to stay sane?|28.03.2021 12:23:33 UTC+02:00|Incoming|
Kik|Mike.Jonson|mike.dickinson_bl8@talk.kik.com|blondtrip24|blondtrip24_cre@talk.kik.com|Talk to chat bots who will attempt to compromise me|28.03.2021 12:24:14 UTC+02:00|Outgoing|
Kik|blondtrip24|blondtrip24_cre@talk.kik.com|Mike.Jonson||What sorta woman are you in 2?|28.03.2021 12:25:54 UTC+02:00|Incoming|
Kik|blondtrip24|blondtrip24_cre@talk.kik.com|Mike.Jonson||im not a bot but you're getting weird so... whatever..|28.03.2021 12:26:13 UTC+02:00|Incoming|
Kik|Mike.Jonson|mike.dickinson_bl8@talk.kik.com|blondtrip24|blondtrip24_cre@talk.kik.com|The sort who manipulate me.|28.03.2021 12:29:31 UTC+02:00|Outgoing|
Kik|blondtrip24|blondtrip24_cre@talk.kik.com|Mike.Jonson||Suppose I ask ya a straightforward question?|28.03.2021 12:32:34 UTC+02:00|Incoming|
Kik|Mike.Jonson|mike.dickinson_bl8@talk.kik.com|blondtrip24|blondtrip24_cre@talk.kik.com|Sure. I guess it will be something naughty now?|28.03.2021 12:56:31 UTC+02:00|Outgoing|
Kik|blondtrip24|blondtrip24_cre@talk.kik.com|Mike.Jonson||I like a someone who knows how to satisfy a lady.. Have you ever made a woman orgasm ;X? haha|28.03.2021 12:58:39 UTC+02:00|Incoming|
Kik|Mike.Jonson|mike.dickinson_bl8@talk.kik.com|blondtrip24|blondtrip24_cre@talk.kik.com|Nope. I am useless in bed.|28.03.2021 13:01:22 UTC+02:00|Outgoing|
Kik|blondtrip24|blondtrip24_cre@talk.kik.com|Mike.Jonson||Wish I could lay there next to you ;)|28.03.2021 13:02:38 UTC+02:00|Incoming|
Kik|Mike.Jonson|mike.dickinson_bl8@talk.kik.com|blondtrip24|blondtrip24_cre@talk.kik.com|How exciting from a complete stranger|28.03.2021 13:03:52 UTC+02:00|Outgoing|
Kik|blondtrip24|blondtrip24_cre@talk.kik.com|Mike.Jonson||do ya know if you would get me to climax?|28.03.2021 13:05:27 UTC+02:00|Incoming|
Kik|Mike.Jonson|mike.dickinson_bl8@talk.kik.com|blondtrip24|blondtrip24_cre@talk.kik.com|I don't know. This is all a bit new and confusing to me...|28.03.2021 13:07:03 UTC+02:00|Outgoing|
Kik|blondtrip24|blondtrip24_cre@talk.kik.com|Mike.Jonson||lol alright I am into u. do u fancy gals with a bunch of tatoos?|28.03.2021 13:09:00 UTC+02:00|Incoming|
Kik|Mike.Jonson|mike.dickinson_bl8@talk.kik.com|blondtrip24|blondtrip24_cre@talk.kik.com|I don't mind|28.03.2021 13:18:12 UTC+02:00|Outgoing|
Kik|blondtrip24|blondtrip24_cre@talk.kik.com|Mike.Jonson||I'm sorta gettin a lil horny haha... u wanna see some more pix?|28.03.2021 13:20:13 UTC+02:00|Incoming|
Kik|Mike.Jonson|mike.dickinson_bl8@talk.kik.com|blondtrip24|blondtrip24_cre@talk.kik.com|Yes please and thank you|28.03.2021 13:22:17 UTC+02:00|Outgoing|
Kik|blondtrip24|blondtrip24_cre@talk.kik.com|Mike.Jonson||tell me you need it sugar it gets me hot..|28.03.2021 13:24:36 UTC+02:00|Incoming|
Kik|Mike.Jonson|mike.dickinson_bl8@talk.kik.com|blondtrip24|blondtrip24_cre@talk.kik.com|Yes I need it. With sugar on top.|28.03.2021 13:25:04 UTC+02:00|Outgoing|
Kik|blondtrip24|blondtrip24_cre@talk.kik.com|Mike.Jonson|||28.03.2021 13:27:03 UTC+02:00|Incoming|"{""Path"": ""BadBoy_Samsung_S8/Attachments/File/0/Messages-Chat/Messages-Chat_35/810bfede342497c2315160d617e59879.jpg"", ""id"": 34}"
Kik|Mike.Jonson|mike.dickinson_bl8@talk.kik.com|blondtrip24|blondtrip24_cre@talk.kik.com|Oh wow. Thank you so much.|28.03.2021 13:38:18 UTC+02:00|Outgoing|
Kik|Mike.Jonson|mike.dickinson_bl8@talk.kik.com|blondtrip24|blondtrip24_cre@talk.kik.com|So now what do I do?|28.03.2021 13:51:15 UTC+02:00|Outgoing|
Kik|Mike.Jonson|mike.dickinson_bl8@talk.kik.com|blondtrip24|blondtrip24_cre@talk.kik.com|Oh no have I lost you already???|28.03.2021 13:55:53 UTC+02:00|Outgoing|
Kik|blondtrip24|blondtrip24_cre@talk.kik.com|Mike.Jonson||Tell me what u'd do 2 me...|28.03.2021 14:24:19 UTC+02:00|Incoming|
Kik|Mike.Jonson|mike.dickinson_bl8@talk.kik.com|blondtrip24|blondtrip24_cre@talk.kik.com|Look longingly at you|28.03.2021 14:44:51 UTC+02:00|Outgoing|
Kik|blondtrip24|blondtrip24_cre@talk.kik.com|Mike.Jonson||u want to c more this time???|28.03.2021 14:47:05 UTC+02:00|Incoming|
Kik|Mike.Jonson|mike.dickinson_bl8@talk.kik.com|blondtrip24|blondtrip24_cre@talk.kik.com|Yes|28.03.2021 14:47:44 UTC+02:00|Outgoing|
Kik|blondtrip24|blondtrip24_cre@talk.kik.com|Mike.Jonson|||28.03.2021 14:49:32 UTC+02:00|Incoming|"{""Path"": ""BadBoy_Samsung_S8/Attachments/File/0/Messages-Chat/Messages-Chat_43/43b95f0b56098bdbf1cea5b4a777eeb8.jpg"", ""id"": 42}"
Kik|Mike.Jonson|mike.dickinson_bl8@talk.kik.com|blondtrip24|blondtrip24_cre@talk.kik.com|Thank you|28.03.2021 14:50:15 UTC+02:00|Outgoing|
Kik|blondtrip24|blondtrip24_cre@talk.kik.com|Mike.Jonson||U like that? Give me one of you.. make it a really sexy one!|28.03.2021 14:52:14 UTC+02:00|Incoming|
Kik|Mike.Jonson|mike.dickinson_bl8@talk.kik.com|blondtrip24|blondtrip24_cre@talk.kik.com|Ok what do you want to see?|28.03.2021 15:24:34 UTC+02:00|Outgoing|
Kik|blondtrip24|blondtrip24_cre@talk.kik.com|Mike.Jonson||i'm honestly gettin sort of turned on... u want 2 see my back side?|28.03.2021 15:27:37 UTC+02:00|Incoming|
Kik|Mike.Jonson|mike.dickinson_bl8@talk.kik.com|blondtrip24|blondtrip24_cre@talk.kik.com|Ok|28.03.2021 15:39:43 UTC+02:00|Outgoing|
Kik|blondtrip24|blondtrip24_cre@talk.kik.com|Mike.Jonson|||28.03.2021 15:42:21 UTC+02:00|Incoming|"{""Path"": ""BadBoy_Samsung_S8/Attachments/File/0/Messages-Chat/Messages-Chat_49/e7d85a77a0d4c2efb57006138a73295.jpg"", ""id"": 48}"
Kik|Mike.Jonson|mike.dickinson_bl8@talk.kik.com|blondtrip24|blondtrip24_cre@talk.kik.com|That's your back side?|28.03.2021 15:43:19 UTC+02:00|Outgoing|
Kik|blondtrip24|blondtrip24_cre@talk.kik.com|Mike.Jonson||I cannot take it nemore... cum see me right now. check out my page here|28.03.2021 15:45:09 UTC+02:00|Incoming|
Kik|blondtrip24|blondtrip24_cre@talk.kik.com|Mike.Jonson||make sure u save the invite..|28.03.2021 15:45:23 UTC+02:00|Incoming|
Kik|blondtrip24|blondtrip24_cre@talk.kik.com|Mike.Jonson||Hey|28.03.2021 15:45:38 UTC+02:00|Incoming|
Kik|blondtrip24|blondtrip24_cre@talk.kik.com|Mike.Jonson||safesharesecure.com/badbeach20?2Er8bTR|28.03.2021 15:45:38 UTC+02:00|Incoming|
Telegram|Bad Boy|1585569757|Maverick SOB||👍 alright geezer?|16.03.2021 11:26:38 UTC+01:00  |Outgoing|
Telegram|Maverick SOB|1605396189|Bad Boy|1585569757|Oh jeez. U r everywhere|16.03.2021 11:27:12 UTC+01:00  |Incoming|
Telegram|Maverick SOB|1605396189|Bad Boy|1585569757|What do you want man?|16.03.2021 11:27:24 UTC+01:00  |Incoming|
Telegram|Bad Boy|1585569757|Maverick SOB||I want to trade. The boys let me know you deal in cheap gear and occasionally I get some to sell and every now and then I need to buy...|16.03.2021 11:28:19 UTC+01:00  |Outgoing|
Telegram|Maverick SOB|1605396189|Bad Boy|1585569757|OK but how can I trust you after last time? You really screwed up...|16.03.2021 11:28:48 UTC+01:00  |Incoming|
Telegram|Bad Boy|1585569757|Maverick SOB||Yer I know,  listen I'm sorry man but learnt my lesson. It won't happen again I promise. This time it will be different..|16.03.2021 11:29:36 UTC+01:00  |Outgoing|
Telegram|Maverick SOB|1605396189|Bad Boy|1585569757|Ha yer right. How many times have I heard that shit before. 🤔|16.03.2021 11:29:59 UTC+01:00  |Incoming|
Telegram|Bad Boy|1585569757|Maverick SOB||Seriously you can trust me. I won't make the same mistake twice. I will pay on time and keep your secrets. In my honor|16.03.2021 11:30:48 UTC+01:00  |Outgoing|
Telegram|Maverick SOB|1605396189|Bad Boy|1585569757|I need to speak to Goose about this...|16.03.2021 11:32:22 UTC+01:00  |Incoming|
Telegram|Bad Boy|1585569757|Maverick SOB||Ok I understand,  thanks.|16.03.2021 11:34:32 UTC+01:00  |Outgoing|
Telegram|Bad Boy|1585569757|Maverick SOB||Did he say yes?|16.03.2021 16:31:41 UTC+01:00  |Outgoing|
Telegram|Maverick SOB|1605396189|Bad Boy|1585569757|OK Bad Boy... Goose agreed to give you a second chance,  but you need to do everything we say OK?|17.03.2021 12:15:58 UTC+01:00  |Incoming|
Telegram|Bad Boy|1585569757|Maverick SOB|||17.03.2021 12:16:27 UTC+01:00  |Outgoing|"{""Path"": ""BadBoy_Samsung_S8/Attachments/File/0/Messages-Chat/Messages-Chat_68/4_5949303031001516591.mp4"", ""id"": 14}"
Telegram|Bad Boy|1585569757|Maverick SOB||Yes ok thanks man. You won't regret it..|17.03.2021 12:16:44 UTC+01:00  |Outgoing|
Telegram|Maverick SOB|1605396189|Bad Boy|1585569757|Dear God, please make sure I don't. Sick of cleaning up after others.|17.03.2021 12:17:07 UTC+01:00  |Incoming|
Telegram|Maverick SOB|1605396189|Bad Boy|1585569757|First job. Find us a place to rob..|17.03.2021 12:17:24 UTC+01:00  |Incoming|
Telegram|Bad Boy|1585569757|Maverick SOB||Ok boss will do...|17.03.2021 12:17:36 UTC+01:00  |Outgoing|
Telegram|Bad Boy|1585569757|Maverick SOB||I heard these apartments are super expensive?|17.03.2021 12:22:02 UTC+01:00  |Outgoing|"{""Path"": ""BadBoy_Samsung_S8/Attachments/File/0/Messages-Chat/Messages-Chat_73/400149600238_190930.jpg"", ""id"": 19}"
Telegram|Maverick SOB|1605396189|Bad Boy|1585569757|In the city? Nah man that's someone else's turf. We stick to the suburbs or get whacked.|17.03.2021 12:26:27 UTC+01:00  |Incoming|
Telegram|Maverick SOB|1605396189|Bad Boy|1585569757|Local numbers only|17.03.2021 12:26:41 UTC+01:00  |Incoming|
Telegram|Bad Boy|1585569757|Maverick SOB||https://images.app.goo.gl/W8yKUaPs697HTjms6|17.03.2021 17:45:34 UTC+01:00  |Outgoing|
Telegram|Bad Boy|1585569757|Maverick SOB|||17.03.2021 17:45:56 UTC+01:00  |Outgoing|"{""Path"": ""BadBoy_Samsung_S8/Attachments/File/0/Messages-Chat/Messages-Chat_77/400088300496_413947.jpg"", ""id"": 23}"
Telegram|Bad Boy|1585569757|Maverick SOB||How about this?|17.03.2021 17:46:14 UTC+01:00  |Outgoing|
Telegram|Maverick SOB|1605396189|Bad Boy|1585569757|Maybe. How much do you want?|17.03.2021 18:16:18 UTC+01:00  |Incoming|
Telegram|Bad Boy|1585569757|Maverick SOB||9000kr should be enough to let this little lot go to you my friend|18.03.2021 22:03:14 UTC+01:00  |Outgoing|
Telegram|Maverick SOB|1605396189|Bad Boy|1585569757|Deal|18.03.2021 22:03:34 UTC+01:00  |Incoming|
Telegram|Bad Boy|1585569757|Maverick SOB||Ok let's meet up today for the exchange. I bring the gear and you bring the cash.|19.03.2021 11:30:32 UTC+01:00  |Outgoing|
Telegram|Maverick SOB|1605396189|Bad Boy|1585569757|OK later on meet here.|19.03.2021 11:43:04 UTC+01:00  |Incoming|
