Sender1,Sender2,Similarity
status@broadcast,Rupert Beae,0.8809
status@broadcast,Michael Jonson,0.5244
status@broadcast,Maverick SOB,0.6465
status@broadcast,Goldy Finger,0.7272
status@broadcast,Goose System,0.5417
status@broadcast,Goose,0.5238
status@broadcast,Maverick,0.5356
status@broadcast,Jose Topgun,0.7845
status@broadcast,46708275344@s.whatsapp.net,0.5176
Unmatched Telegram User,Big Boss,0.5347
Unmatched Telegram User,Telegram,0.7109
Unmatched Telegram User,Maverick.4444,0.6227
Rupert Beae,status@broadcast,0.8809
Rupert Beae,Michael Jonson,0.5280
Rupert Beae,Maverick SOB,0.8002
Rupert Beae,Goldfinger,0.5911
Rupert Beae,Goldy Finger,0.7658
Rupert Beae,Goose System,0.7045
Rupert Beae,Goose,0.6345
Rupert Beae,Maverick,0.7248
Rupert Beae,Jose Topgun,0.8443
Rupert Beae,Twilight Grey,0.5265
Rupert Beae,46708275344@s.whatsapp.net,0.7015
Rupert Beae,Bad Boy,0.6137
Michael Jonson,status@broadcast,0.5244
Michael Jonson,Rupert Beae,0.5280
Michael Jonson,Maverick SOB,0.5359
Michael Jonson,Goose System,0.5024
Michael Jonson,Maverick,0.5006
Michael Jonson,Jose Topgun,0.5917
Big Boss,Unmatched Telegram User,0.5347
Big Boss,Maverick SOB,0.7562
Big Boss,Goldfinger,0.5983
Big Boss,Goose System,0.6834
Big Boss,Goose,0.5702
Big Boss,Maverick,0.7402
Big Boss,Jose Topgun,0.5565
Big Boss,Twilight G,0.6561
Big Boss,Twilight Grey,0.6354
Big Boss,46708275344@s.whatsapp.net,0.6970
Big Boss,Bad Boy,0.7391
Big Boss,Mike Jonson,0.5453
Big Boss,Maverick.4444,0.7921
Big Boss,kikteam,0.5093
Big Boss,Goose.4444,0.6126
Big Boss,Mike.Jonson,0.6557
Big Boss,ladyancy96,0.5893
Big Boss,Gooooosssse,0.5425
Big Boss,blondtrip24,0.6698
Maverick SOB,status@broadcast,0.6465
Maverick SOB,Rupert Beae,0.8002
Maverick SOB,Michael Jonson,0.5359
Maverick SOB,Big Boss,0.7562
Maverick SOB,Goldfinger,0.7267
Maverick SOB,Goldy Finger,0.7557
Maverick SOB,Goose System,0.8709
Maverick SOB,Goose,0.7482
Maverick SOB,Maverick,0.9008
Maverick SOB,Jose Topgun,0.8255
Maverick SOB,Twilight G,0.6212
Maverick SOB,Twilight Grey,0.6959
Maverick SOB,46708275344@s.whatsapp.net,0.8505
Maverick SOB,Bad Boy,0.8551
Maverick SOB,Mike Jonson,0.5024
Maverick SOB,Maverick.4444,0.7305
Maverick SOB,Goose.4444,0.5831
Maverick SOB,Mike.Jonson,0.5649
Maverick SOB,blondtrip24,0.5687
Telegram,Unmatched Telegram User,0.7109
Goldfinger,Rupert Beae,0.5911
Goldfinger,Big Boss,0.5983
Goldfinger,Maverick SOB,0.7267
Goldfinger,Goldy Finger,0.6730
Goldfinger,Goose System,0.7273
Goldfinger,Goose,0.6083
Goldfinger,Maverick,0.7212
Goldfinger,Jose Topgun,0.6148
Goldfinger,Twilight Grey,0.6537
Goldfinger,46708275344@s.whatsapp.net,0.6982
Goldfinger,Bad Boy,0.6233
Goldfinger,Maverick.4444,0.5805
Goldfinger,Goose.4444,0.5169
Goldy Finger,status@broadcast,0.7272
Goldy Finger,Rupert Beae,0.7658
Goldy Finger,Maverick SOB,0.7557
Goldy Finger,Goldfinger,0.6730
Goldy Finger,Goose System,0.6943
Goldy Finger,Goose,0.6202
Goldy Finger,Maverick,0.6994
Goldy Finger,Jose Topgun,0.7626
Goldy Finger,Twilight Grey,0.5786
Goldy Finger,46708275344@s.whatsapp.net,0.6737
Goldy Finger,Bad Boy,0.5984
Goose System,status@broadcast,0.5417
Goose System,Rupert Beae,0.7045
Goose System,Michael Jonson,0.5024
Goose System,Big Boss,0.6834
Goose System,Maverick SOB,0.8709
Goose System,Goldfinger,0.7273
Goose System,Goldy Finger,0.6943
Goose System,Goose,0.7297
Goose System,Maverick,0.8859
Goose System,Jose Topgun,0.7465
Goose System,Twilight G,0.5636
Goose System,Twilight Grey,0.6878
Goose System,46708275344@s.whatsapp.net,0.8626
Goose System,Bad Boy,0.7800
Goose System,Maverick.4444,0.7167
Goose System,Goose.4444,0.5324
Goose System,Mike.Jonson,0.5166
Goose,status@broadcast,0.5238
Goose,Rupert Beae,0.6345
Goose,Big Boss,0.5702
Goose,Maverick SOB,0.7482
Goose,Goldfinger,0.6083
Goose,Goldy Finger,0.6202
Goose,Goose System,0.7297
Goose,Maverick,0.7344
Goose,Jose Topgun,0.6862
Goose,Twilight G,0.5207
Goose,Twilight Grey,0.5608
