Sender1,Sender2,Similarity
Maverick,46708275344@s.whatsapp.net,0.9792
Maverick SOB,Maverick,0.8956
status@broadcast,Rupert Beae,0.8881
Goose System,Maverick,0.8849
Maverick SOB,Goose System,0.8765
Goose System,46708275344@s.whatsapp.net,0.8608
Maverick SOB,46708275344@s.whatsapp.net,0.8464
Maverick SOB,Bad Boy,0.8430
Maverick SOB,Jose Topgun,0.8357
Rupert Beae,Jose Topgun,0.8268
Rupert Beae,Maverick SOB,0.8214
ladyancy96,blondtrip24,0.8183
Maverick,Bad Boy,0.8004
Big Boss,Maverick.4444,0.7830
Maverick,Jose Topgun,0.7773
Goose System,Bad Boy,0.7733
Goose System,Jose Topgun,0.7630
Maverick SOB,Goldy Finger,0.7608
46708275344@s.whatsapp.net,Bad Boy,0.7583
status@broadcast,Jose Topgun,0.7535
Jose Topgun,46708275344@s.whatsapp.net,0.7464
Rupert Beae,Goldy Finger,0.7453
Big Boss,Maverick,0.7411
Goldy Finger,Jose Topgun,0.7407
Goldfinger,Goose System,0.7353
Maverick SOB,Goldfinger,0.7351
Rupert Beae,Maverick,0.7316
Big Boss,Bad Boy,0.7303
Big Boss,Maverick SOB,0.7297
Rupert Beae,Goose System,0.7290
Goldfinger,Maverick,0.7290
Goose,Maverick,0.7220
Maverick,Maverick.4444,0.7198
Maverick SOB,Goose,0.7196
Goose System,Goose,0.7109
Rupert Beae,46708275344@s.whatsapp.net,0.7084
Goldfinger,46708275344@s.whatsapp.net,0.7083
Unmatched Telegram User,Telegram,0.7082
Goldy Finger,Maverick,0.7018
Big Boss,46708275344@s.whatsapp.net,0.7012
Goldy Finger,Goose System,0.7006
Goose,46708275344@s.whatsapp.net,0.6995
status@broadcast,Goldy Finger,0.6979
Goldfinger,Goldy Finger,0.6911
status@broadcast,Maverick SOB,0.6895
46708275344@s.whatsapp.net,Maverick.4444,0.6859
Jose Topgun,Bad Boy,0.6854
Bad Boy,Maverick.4444,0.6785
Goldy Finger,46708275344@s.whatsapp.net,0.6779
Goose System,Maverick.4444,0.6759
Goose,Bad Boy,0.6754
Maverick SOB,Maverick.4444,0.6751
Big Boss,blondtrip24,0.6750
Mike.Jonson,blondtrip24,0.6683
Big Boss,Goose System,0.6681
Maverick.4444,Mike.Jonson,0.6662
Maverick.4444,blondtrip24,0.6559
Goose System,Twilight Grey,0.6515
Big Boss,Twilight G,0.6494
Twilight G,Maverick.4444,0.6467
Maverick,Twilight Grey,0.6461
Maverick SOB,Twilight Grey,0.6444
Big Boss,Mike.Jonson,0.6439
Goose,Jose Topgun,0.6436
Mike.Jonson,ladyancy96,0.6419
Goldfinger,Jose Topgun,0.6353
Unmatched Telegram User,Maverick.4444,0.6341
Big Boss,Twilight Grey,0.6299
Goldfinger,Twilight Grey,0.6276
Goldfinger,Bad Boy,0.6215
Big Boss,Goose.4444,0.6177
Twilight Grey,46708275344@s.whatsapp.net,0.6170
Rupert Beae,Goldfinger,0.6160
Rupert Beae,Bad Boy,0.6075
Goldy Finger,Bad Boy,0.6008
Twilight G,Bad Boy,0.6006
Goldfinger,Goose,0.5971
Twilight G,Twilight Grey,0.5915
Maverick,Goose.4444,0.5906
Twilight Grey,Bad Boy,0.5896
Big Boss,ladyancy96,0.5884
Twilight Grey,Maverick.4444,0.5868
Big Boss,Goldfinger,0.5843
Maverick,Twilight G,0.5826
Rupert Beae,Goose,0.5823
status@broadcast,Goose System,0.5817
Big Boss,Jose Topgun,0.5791
Big Boss,Goose,0.5750
Goldy Finger,Goose,0.5727
Maverick SOB,Goose.4444,0.5717
Mike Jonson,Maverick.4444,0.5624
Maverick SOB,blondtrip24,0.5616
Maverick SOB,Twilight G,0.5607
46708275344@s.whatsapp.net,Goose.4444,0.5594
Maverick.4444,ladyancy96,0.5587
Maverick.4444,Gooooosssse,0.5540
Twilight G,46708275344@s.whatsapp.net,0.5531
Big Boss,Gooooosssse,0.5493
status@broadcast,Maverick,0.5493
Jose Topgun,Twilight Grey,0.5486
Unmatched Telegram User,Big Boss,0.5463
Maverick,blondtrip24,0.5445
Goldfinger,Maverick.4444,0.5434
Michael Jonson,Jose Topgun,0.5418
Goldy Finger,Twilight Grey,0.5366
Bad Boy,blondtrip24,0.5318
Big Boss,Mike Jonson,0.5315
status@broadcast,46708275344@s.whatsapp.net,0.5294
Goose System,Goose.4444,0.5290
Goose.4444,blondtrip24,0.5244
Goose System,Twilight G,0.5228
Goose,Maverick.4444,0.5221
Goose,Twilight Grey,0.5173
Goldfinger,Goose.4444,0.5166
Twilight Grey,Goose.4444,0.5156
Bad Boy,Mike.Jonson,0.5152
Maverick.4444,Goose.4444,0.5145
Bad Boy,Goose.4444,0.5130
Twilight G,Mike.Jonson,0.5127
Unmatched Telegram User,Twilight G,0.5072
Twilight G,Gooooosssse,0.5052
Michael Jonson,Maverick SOB,0.5045
Maverick SOB,Mike.Jonson,0.5024
Goose,Twilight G,0.5003
